chrom	start	end	name	color
chr1	900000	1700000	A1	#e23838
chr1	1750000	2450000	A1	#e23838
chr1	2800000	3900000	A2	#f78200
chr1	3900000	4250000	B1	#009cdf
chr1	4250000	5400000	B4	#973999
chr1	5400000	5900000	B1	#009cdf
chr1	5900000	12600000	A2	#f78200
chr1	12600000	12850000	B1	#009cdf
chr1	13400000	14900000	B1	#009cdf
chr1	14900000	16000000	A2	#f78200
chr1	16000000	16250000	A1	#e23838
chr1	16250000	16350000	A2	#f78200
chr1	16350000	16500000	A1	#e23838
chr1	16600000	16650000	A1	#e23838
chr1	16700000	16750000	A1	#e23838
chr1	16900000	17100000	A1	#e23838
chr1	17100000	18950000	A2	#f78200
chr1	18950000	19300000	A1	#e23838
chr1	19300000	21800000	A2	#f78200
chr1	21800000	21950000	A1	#e23838
chr1	21950000	23150000	A2	#f78200
chr1	23150000	24150000	A1	#e23838
chr1	24150000	25250000	A2	#f78200
chr1	25350000	25750000	A2	#f78200
chr1	25750000	28050000	A1	#e23838
chr1	28050000	28100000	A2	#f78200
chr1	28100000	28900000	A1	#e23838
chr1	28900000	30350000	A2	#f78200
chr1	30450000	31400000	A2	#f78200
chr1	31400000	31450000	A1	#e23838
chr1	31450000	31500000	A2	#f78200
chr1	31500000	32500000	A1	#e23838
chr1	32500000	32700000	A2	#f78200
chr1	32700000	32750000	A1	#e23838
chr1	32750000	33500000	A2	#f78200
chr1	33500000	34750000	B1	#009cdf
chr1	34750000	36650000	A2	#f78200
chr1	36650000	37450000	B1	#009cdf
chr1	37450000	38100000	A2	#f78200
chr1	38100000	38850000	B1	#009cdf
chr1	38850000	42900000	A2	#f78200
chr1	42900000	44100000	A1	#e23838
chr1	44100000	44200000	A2	#f78200
chr1	44200000	44250000	A1	#e23838
chr1	44250000	44550000	A2	#f78200
chr1	44550000	44950000	A1	#e23838
chr1	44950000	45500000	A2	#f78200
chr1	45500000	45550000	A1	#e23838
chr1	45550000	46250000	A2	#f78200
chr1	46250000	46300000	A1	#e23838
