chrom	start	end	GC
chr1	0	50000	0.48425
chr1	50000	100000	0.37674
chr1	100000	150000	0.42996
chr1	150000	200000	0.48634
chr1	200000	250000	0.4805635272632403
chr1	250000	300000	0.39144459332043074
chr1	300000	350000	0.4015748031496063
chr1	350000	400000	0.47474
chr1	400000	450000	0.39218
chr1	450000	500000	0.41166
chr1	500000	550000	0.4468156052017339
chr1	550000	600000	0.4862260919212104
chr1	600000	650000	0.46968
chr1	650000	700000	0.37214
chr1	700000	750000	0.43612
chr1	750000	800000	0.43062
chr1	800000	850000	0.44356
chr1	850000	900000	0.4529
chr1	900000	950000	0.63236
chr1	950000	1000000	0.6101
chr1	1000000	1050000	0.63092
chr1	1050000	1100000	0.624
chr1	1100000	1150000	0.58782
chr1	1150000	1200000	0.59202
chr1	1200000	1250000	0.6534
chr1	1250000	1300000	0.6003
chr1	1300000	1350000	0.6459
chr1	1350000	1400000	0.5675
chr1	1400000	1450000	0.5718
chr1	1450000	1500000	0.57648
chr1	1500000	1550000	0.59168
chr1	1550000	1600000	0.53108
chr1	1600000	1650000	0.60602
chr1	1650000	1700000	0.5299
chr1	1700000	1750000	0.53474
chr1	1750000	1800000	0.53196
chr1	1800000	1850000	0.45054
chr1	1850000	1900000	0.49464
chr1	1900000	1950000	0.5833
chr1	1950000	2000000	0.55306
chr1	2000000	2050000	0.56802
chr1	2050000	2100000	0.57122
chr1	2100000	2150000	0.55814
chr1	2150000	2200000	0.57866
chr1	2200000	2250000	0.5884
chr1	2250000	2300000	0.56766
chr1	2300000	2350000	0.62818
chr1	2350000	2400000	0.54024
chr1	2400000	2450000	0.60854
chr1	2450000	2500000	0.64548
chr1	2500000	2550000	0.6305
chr1	2550000	2600000	0.59334
chr1	2600000	2650000	0.55048
chr1	2650000	2700000	0.6202
chr1	2700000	2750000	0.6139269758126636
chr1	2750000	2800000	0.57026
chr1	2800000	2850000	0.56156
chr1	2850000	2900000	0.59716
chr1	2900000	2950000	0.58346
chr1	2950000	3000000	0.5251
chr1	3000000	3050000	0.53996
chr1	3050000	3100000	0.59204
chr1	3100000	3150000	0.58968
chr1	3150000	3200000	0.5735
chr1	3200000	3250000	0.56358
chr1	3250000	3300000	0.57294
chr1	3300000	3350000	0.5538
chr1	3350000	3400000	0.56978
chr1	3400000	3450000	0.56832
chr1	3450000	3500000	0.61474
chr1	3500000	3550000	0.63324
chr1	3550000	3600000	0.61438
chr1	3600000	3650000	0.55926
chr1	3650000	3700000	0.58526
chr1	3700000	3750000	0.59156
chr1	3750000	3800000	0.55246
chr1	3800000	3850000	0.47748
chr1	3850000	3900000	0.50666
chr1	3900000	3950000	0.52972
