chrom	start	end	name	color
chr1	850000	1700000	A1	#e23838
chr1	1750000	2450000	A2	#f78200
chr1	2800000	3800000	A2	#f78200
chr1	3800000	4350000	B1	#009cdf
chr1	4350000	5350000	B4	#973999
chr1	5350000	6000000	B1	#009cdf
chr1	6000000	12250000	A2	#f78200
chr1	12250000	12850000	B1	#009cdf
chr1	13350000	15100000	B1	#009cdf
chr1	15100000	16500000	A2	#f78200
chr1	16600000	16650000	A2	#f78200
chr1	16700000	16750000	A2	#f78200
chr1	16900000	21750000	A2	#f78200
chr1	21750000	21850000	A1	#e23838
chr1	21850000	21900000	A2	#f78200
chr1	21900000	22000000	A1	#e23838
chr1	22000000	23300000	A2	#f78200
chr1	23300000	24150000	A1	#e23838
chr1	24150000	24600000	A2	#f78200
chr1	24600000	24750000	A1	#e23838
chr1	24750000	25200000	A2	#f78200
chr1	25200000	25250000	A1	#e23838
chr1	25250000	25300000	A2	#f78200
chr1	25350000	25400000	A1	#e23838
chr1	25400000	25500000	A2	#f78200
chr1	25500000	25600000	A1	#e23838
chr1	25600000	25750000	A2	#f78200
chr1	25750000	28050000	A1	#e23838
chr1	28050000	28100000	A2	#f78200
chr1	28100000	28150000	A1	#e23838
chr1	28150000	28200000	A2	#f78200
chr1	28200000	28750000	A1	#e23838
chr1	28750000	30350000	A2	#f78200
chr1	30450000	33450000	A2	#f78200
chr1	33450000	34850000	B1	#009cdf
chr1	34850000	34900000	A2	#f78200
chr1	34900000	34950000	B1	#009cdf
chr1	34950000	36600000	A2	#f78200
chr1	36600000	37450000	B1	#009cdf
chr1	37450000	38100000	A2	#f78200
chr1	38100000	38850000	B1	#009cdf
chr1	38850000	42750000	A2	#f78200
chr1	42750000	44100000	A1	#e23838
chr1	44100000	44150000	A2	#f78200
chr1	44150000	44200000	A1	#e23838
chr1	44200000	44650000	A2	#f78200
chr1	44650000	44850000	A1	#e23838
chr1	44850000	46650000	A2	#f78200
chr1	46650000	47050000	B1	#009cdf
chr1	47100000	47200000	B1	#009cdf
chr1	47200000	47500000	A2	#f78200
chr1	47500000	48850000	B1	#009cdf
chr1	48850000	50000000	B4	#973999
chr1	50000000	50500000	B1	#009cdf
chr1	50500000	51200000	B0	#5ebd3e
chr1	51200000	51400000	A2	#f78200
chr1	51400000	51450000	B0	#5ebd3e
chr1	51450000	55100000	A2	#f78200
chr1	55100000	55300000	B0	#5ebd3e
chr1	55300000	55350000	B1	#009cdf
chr1	55350000	55500000	B0	#5ebd3e
chr1	55500000	57100000	B1	#009cdf
chr1	57100000	57950000	B4	#973999
chr1	57950000	58550000	B1	#009cdf
chr1	58550000	59150000	B0	#5ebd3e
chr1	59150000	59200000	B1	#009cdf
chr1	59200000	59550000	B0	#5ebd3e
chr1	59550000	59600000	B1	#009cdf
chr1	59600000	59900000	B0	#5ebd3e
chr1	59900000	61000000	B1	#009cdf
chr1	61000000	61350000	B0	#5ebd3e
chr1	61350000	61600000	B1	#009cdf
chr1	61600000	61700000	B0	#5ebd3e
chr1	61700000	61750000	A2	#f78200
chr1	61750000	61800000	B0	#5ebd3e
chr1	61800000	61850000	A2	#f78200
chr1	61850000	62100000	B0	#5ebd3e
chr1	62100000	62450000	A2	#f78200
chr1	62450000	62750000	B0	#5ebd3e
chr1	62750000	62800000	A2	#f78200
chr1	62800000	63350000	B0	#5ebd3e
chr1	63350000	63400000	A2	#f78200
chr1	63400000	64900000	B0	#5ebd3e
chr1	64900000	65050000	A2	#f78200
chr1	65050000	67350000	B0	#5ebd3e
chr1	67350000	67500000	A2	#f78200
chr1	67500000	68750000	B0	#5ebd3e
chr1	68750000	69000000	B1	#009cdf
chr1	69000000	69050000	B0	#5ebd3e
chr1	69050000	70150000	B1	#009cdf
chr1	70150000	70200000	B0	#5ebd3e
chr1	70200000	70400000	A2	#f78200
